v1,v2,category
spam,"[국외발신]ifg@[통관세금안내]ifg@관세미납 ***,***원 즉시 납부 바랍니다ifg@미납시 강제집행예정ifg@{민원센터****-****}",기관
spam,"[국외발신]ifg@고객님ifg@[관세청]ifg@통관물품 세금확인 ifg@관세세금:***,***원ifg@통관번호******ifg@자동처리예정ifg@문의: [**,***,****],",기관
spam,[Web발신]ifg@****년 고객님ifg@건강검사 통지서 발송완료.ifg@상세확인 http://z**.m*bs.hair,기관
spam,[국외발신]ifg@[통관세금안내]ifg@관세미납:***.***원 ifg@미납시 민사소송 ifg@고발조치예정입니다.ifg@민원접수 ****-****,기관
spam,"[Web발신]ifg@[삼도농협택배일정알림] *월 추석명절 택배 일정 안내드립니다.ifg@접수마감 : *월 **일(월)-(단,식품류는 접수금지)i,fg@제,주도/,산간지역마감: *월 **일(금)-(단,식품류는 접수금지입니다.)ifg@접수 불가 : *월 **일(화)~**월*일(화)ifg@**월 *일(수)부터 정산 운영하오니 착오없으시기바랍니다. ifg@카카오톡 미사용자들을 위해 문자로 안내함을 양해 부탁드립니다.ifg@즐거운 명절 되시기 바랍니다.",기관
spam,[Web발신]ifg@삼성화재 도입택배 포인트 적립안내ifg@ifg@☞ https://rcmall*.ssgb*e.com,기관
spam,"[국제발신]ifg@[통관세금안내]ifg@관세미납:***,***원 즉시 납부바랍니다.ifg@미납시 강제집행예정입니다.ifg@<민원센터:****-****>",기관
spam,"봉진성님ifg@통관세 미납안내 ifg@합계세금:***,***원ifg@접수번호:******ifg@미납시 자동처리예정ifg@민원실:** *** ****",기관
spam,"[Web발신]ifg@★본 문자는 수신 불가능합니다. 문의 있으시면 전화연락부탁드립니다.★ifg@ifg@안녕하세요~ifg@조은내과입니다.ifg@,박원준,님if,g@**월**일 토요일 내시경예약 되어있습니다.ifg@- **시 **분까지 내원부탁드립니다.ifg@ifg@검진 전 주의사항 안내해드립니다.ifg@ifg@★위,대장내시경 주의사항★ifg@-검진 전날 저녁식사는 소량의 죽으로 식사하세요. ifg@-검진 전날 오후 *시, 검사당일 새벽*시에 장정결제복용하세요(복용방법 장정결제안내문참고)ifg@-검진 당일 병원 출발하기 직전(현관문 나오기 전) 가소콜 꼭 복용하고 내원하세요ifg@ifg@-검진 당일 아침(*시) 혈압약은 소량의물과 복용하시고, 혈압약 이외의 약은 복용하지마세요.ifg@(*반드시 오전*시 이전에 복용하세요*)ifg@-과로 및 음주는 피하세요.ifg@-임신가능성 및 또는 계획중이신 경우 꼭 미리 원장님과 상의하세요.ifg@ifg@-혈액순환제, 항혈소판제제, 항응고제(와파린 등) 복용중이신 분은 본원에 꼭 알려주세요.ifg@ifg@-수면내시경 진행 시 매니큐어, 네일아트(손, 발 젤네일) 지우고 내원부탁드립니다.(산소포화도 측정불가)ifg@ifg@★수면내시경이란 진정제를 주사 수면을 유도하여 검사과정의 힘든기억을 일시적으로 없애주는 검사입니다.ifg@수검자의 협조가 가능한 정도의 진정상태에서 검사하는 주사제로 내시경 중 자극에 따라 ★수면이 깰 수도★ 있습니다.ifg@ifg@-이상소견 발견 시 정확한 진단을 위하여 조직검사, 용종절제술이 시행되기도 하며, 비용발생합니다.ifg@ifg@-수면내시경 시 반드시 대중교통 이용바랍니다.(자가운전X) ifg@ifg@-병원위치 ifg@수인분당선 개포동역 *번출구 **m앞(*층우리은행건물 *층입니다.)ifg@ifg@문의사항, 일정 변경 시 연락부탁드립니다. 감사합니다*^^*ifg@ifg@★상담시간★ifg@오전 : **시 - *시ifg@오후 : *시 - *시ifg@-토요일은 오후 진료없습니다.",기관
spam,**통민원* * 차량신호위반 범칙금 감점 처벌 고지서 발송 완료: https://iplogger.com/*gLMn*,기관
